code,year,sectordeflator_VA_P,sectordeflator_GO_P,sectordeflator_II_P,IP_GFCF_market,deflator,_fillin
10-12,1952,,,,,,1
10-12,1953,,,,,,1
10-12,1954,,,,,,1
10-12,1955,,,,,,1
10-12,1956,,,,,,1
10-12,1957,,,,,,1
10-12,1958,,,,,,1
10-12,1959,,,,,,1
10-12,1960,,,,,,1
10-12,1961,,,,,,1
10-12,1962,,,,,,1
10-12,1963,,,,,,1
10-12,1964,,,,,,1
10-12,1965,,,,,,1
10-12,1966,,,,,,1
10-12,1967,,,,,,1
10-12,1968,,,,,,1
10-12,1969,,,,,,1
10-12,1970,,,,,.15977,0
10-12,1971,,,,,.1692,0
10-12,1972,,,,,.18071,0
10-12,1973,,,,,.19492,0
10-12,1974,,,,,.21796,0
10-12,1975,.243598257655755,.3253725342133052,.3609295555438226,,.24795,0
10-12,1976,.26981,.36038338,.39976642,,.27463,0
10-12,1977,.30814,.4078975,.45112612,,.29875,0
10-12,1978,.38277,.45446768,.48439413,.3951031196971334,.32648,0
10-12,1979,.41611,.49137035,.52266366,.4358744505676199,.36017,0
10-12,1980,.45423,.53389382,.5668941199999999,.4960620120947767,.40227,0
10-12,1981,.51103,.5953664599999999,.63005665,.5597495450163303,.44932,0
10-12,1982,.58224,.6585655300000001,.68934378,.6326733277225651,.50367,0
10-12,1983,.65173,.71377304,.73809339,.6865399134403484,.5523,0
10-12,1984,.70743,.76198688,.78295492,.7293136586108311,.59137,0
10-12,1985,.7524500000000001,.7846664400000001,.79585906,.7617239994968514,.62363,0
10-12,1986,.7910200000000001,.79821276,.79925495,.7895297251851026,.65524,0
10-12,1987,.81695,.79896347,.79004696,.8088940468781413,.67156,0
10-12,1988,.8418099999999999,.81234769,.7990374699999999,.8283280733226913,.69313,0
10-12,1989,.8578199999999999,.83742934,.8275951100000001,.8498207447508541,.71599,0
10-12,1990,.8817400000000001,.8482985,.83330656,.8586975808085746,.73511,0
10-12,1991,.90303,.85858965,.8393667299999999,.8821211351241308,.754,0
10-12,1992,.94798,.87448755,.84461268,.8771932681420896,.769,0
10-12,1993,.9615600000000001,.86574488,.8274847900000001,.8696007063531881,.78161,0
10-12,1994,.93533,.85824308,.8268305499999999,.8679314860560655,.78893,0
10-12,1995,.93399,.8660733899999999,.83797663,.8673846057345996,.79798,0
10-12,1996,.9401600000000001,.86255308,.83095359,.8731732364327884,.80889,0
10-12,1997,.9599899999999999,.8812675799999999,.84918278,.8694265941298686,.81602,0
10-12,1998,.95634,.8654115899999999,.82872196,.8661622825628201,.82379,0
10-12,1999,.97,.85497815,.8097127399999999,.8673886454625638,.8256,0
10-12,2000,.98725,.8826092,.84098833,.8940202939151136,.83834,0
10-12,2001,1.02231,.9251735600000001,.88586265,.9037644157871479,.85512,0
10-12,2002,1.05095,.9248482099999999,.87535254,.910662003840373,.87283,0
10-12,2003,1.02162,.93112759,.8953026300000001,.9082883909713766,.88918,0
10-12,2004,1.04427,.93531925,.8923147400000001,.9174186755616884,.90381,0
10-12,2005,1.00924,.9331528900000001,.9030403300000001,.9359927419758036,.92134,0
10-12,2006,.9903799999999999,.94644828,.92870278,.9617287901985674,.94126,0
10-12,2007,1.01793,.9842739,.97038516,.9772530754463074,.96539,0
10-12,2008,1.09939,1.04822778,1.02817695,.9907554992518763,.98836,0
10-12,2009,1.06463,.99869012,.9734621,.9949341121793988,.98931,0
10-12,2010,1,1,1,1,1,0
10-12,2011,1.01457,1.0598478,1.07756879,1.017739101505978,1.00943,0
10-12,2012,1.0432,1.08885827,1.10673641,1.028603410557745,1.02112,0
10-12,2013,1.08764,1.11631708,1.12748054,1.032626183369822,1.02905,0
10-12,2014,1.10158,1.10787893,1.11025923,1.031410048928839,1.03498,0
10-12,2015,1.08306,1.09427963,1.09863372,1.030898669860722,1.04687,0
10-12,2016,1.088719128084318,1.099997382097049,1.104374222778453,1.036285248272532,1.052340030670166,1
10-12,2017,1.094398859357137,1.105735950815052,1.110135625006268,1.041691437601208,1.057829976081848,1
10-12,2018,1.104816941562615,1.116261955968155,1.120703512665927,1.051607773804305,1.067899942398071,1
10-12,2019,1.11939100892501,1.130986998939843,1.135487145928976,1.065479938465869,1.081987023353577,1
13-15,1952,,,,,,1
13-15,1953,,,,,,1
13-15,1954,,,,,,1
13-15,1955,,,,,,1
13-15,1956,,,,,,1
13-15,1957,,,,,,1
13-15,1958,,,,,,1
13-15,1959,,,,,,1
13-15,1960,,,,,,1
13-15,1961,,,,,,1
13-15,1962,,,,,,1
13-15,1963,,,,,,1
13-15,1964,,,,,,1
13-15,1965,,,,,,1
13-15,1966,,,,,,1
13-15,1967,,,,,,1
13-15,1968,,,,,,1
13-15,1969,,,,,,1
13-15,1970,,,,,.15977,0
